MaleFemale,Year,Athlete,CountryState,Time,Notes
M,1897,John J. McDermott,United States United States (NY),2:55:10,
M,1898,Ronald J. MacDonald,Canada Canada,2:42:00,
M,1899,Lawrence Brignolia,United States United States (MA),2:54:38,
M,1900,John "Jack" Caffery,Canada Canada,2:39:44,
M,1901,John "Jack" Caffery,Canada Canada,2:29:23,2nd victory
M,1902,Sammy Mellor,United States United States (NY),2:43:12,
M,1903,John Lorden,United States United States (MA),2:41:29,
M,1904,Michael Spring,United States United States (NY),2:38:04,
M,1905,Frederick Lorz,United States United States (NY),2:38:25,
M,1906,Tim Ford,United States United States (MA),2:45:45,
M,1907,Thomas Longboat,Canada Canada,2:24:24,
M,1908,Thomas Morrissey,United States United States (NY),2:25:43,
M,1909,Henri Renaud,United States United States (NH),2:53:36,
M,1910,Fred Cameron,Canada Canada,2:28:52,
M,1911,Clarence DeMar,United States United States (MA),2:21:39,
M,1912,Michael J. Ryan,United States United States (NY),2:21:18,
M,1913,Fritz Carlson,United States United States (MN),2:25:14,
M,1914,James Duffy,Canada Canada,2:25:14,
M,1915,Édouard Fabre,Canada Canada,2:31:41,
M,1916,Arthur Roth,United States United States (MA),2:27:16,
M,1917,Bill Kennedy,United States United States (NY),2:28:37,
M,1918,Camp Devens relay team[3],United States United States (MA),2:29:53,1918 race was relay for 10-man military teams
M,1919,Carl Linder,United States United States (MA),2:29:13,
M,1920,Peter Trivoulides,Greece Greece,2:29:31,Represented Greece at Olympic Games later that year
M,1921,Frank Zuna,United States United States (NY),2:18:57,
M,1922,Clarence DeMar,United States United States (MA),2:18:10,2nd victory
M,1923,Clarence DeMar,United States United States (MA),2:23:47,3rd victory
M,1924,Clarence DeMar,United States United States (MA),2:29:40,4th victory
M,1925,Charles Mellor,United States United States (IL),2:33:00,
M,1926,Johnny Miles,Canada Canada,2:25:40,
M,1927,Clarence DeMar,United States United States (MA),2:40:22,5th victory
M,1928,Clarence DeMar,United States United States (MA),2:37:07,6th victory
M,1929,Johnny Miles,Canada Canada,2:33:08,2nd victory
M,1930,Clarence DeMar,United States United States (MA),2:34:48,7th victory
M,1931,James Henigan,United States United States (MA),2:46:45,
M,1932,Paul de Bruyn,Germany Germany,2:33:36,
M,1933,Leslie S. Pawson,United States United States (RI),2:31:01,
M,1934,Dave Komonen,Canada Canada,2:32:53,
